EmployeeID,Date,TimeIn,TimeOut
10001,09/01/2025,07:55,17:05
10002,09/01/2025,08:15,17:00
10003,09/01/2025,08:02,18:30
10004,09/01/2025,07:45,17:00
10005,09/01/2025,08:10,17:05
10006,09/01/2025,08:00,17:00
10007,09/01/2025,08:20,17:15
10008,09/01/2025,07:50,17:00
10009,09/01/2025,08:05,17:30
10010,09/01/2025,07:58,17:02
10011,09/01/2025,08:30,17:00
10012,09/01/2025,08:00,17:00
10013,09/01/2025,07:52,17:10
10014,09/01/2025,08:12,17:05
10015,09/01/2025,08:00,19:00
10016,09/01/2025,07:40,17:00
10017,09/01/2025,08:08,17:00
10018,09/01/2025,08:01,17:00
10019,09/01/2025,07:55,17:05
10020,09/01/2025,08:15,17:45
10021,09/01/2025,08:00,17:00
10022,09/01/2025,08:04,17:00
10023,09/01/2025,07:50,17:00
10024,09/01/2025,08:25,17:00
10025,09/01/2025,07:59,18:15
10026,09/01/2025,08:00,17:00
10027,09/01/2025,08:02,17:05
10028,09/01/2025,08:11,17:00
10029,09/01/2025,07:55,17:00
10030,09/01/2025,08:00,17:00
10031,09/01/2025,08:07,17:30
10032,09/01/2025,08:00,17:00
10033,09/01/2025,07:48,17:00
10034,09/01/2025,08:18,17:05
10035,09/01/2025,08:00,17:00
10036,09/01/2025,08:05,17:10
10037,09/01/2025,07:56,18:45
10038,09/01/2025,08:10,17:00
10039,09/01/2025,08:00,17:00
10040,09/01/2025,08:00,17:00
10041,09/01/2025,08:03,17:00
10042,09/01/2025,07:50,17:05
10043,09/01/2025,08:20,17:00
10044,09/01/2025,08:00,17:00
10045,09/01/2025,08:09,17:00
10046,09/01/2025,07:55,17:15
10047,09/01/2025,08:12,17:00
10048,09/01/2025,08:00,17:00
10049,09/01/2025,08:01,17:00
10050,09/01/2025,08:15,19:30
10051,09/01/2025,07:45,17:00
10052,09/01/2025,08:00,17:00
10053,09/01/2025,08:05,17:05
10054,09/01/2025,08:22,17:00
10055,09/01/2025,08:00,17:00
10056,09/01/2025,07:58,17:00
10057,09/01/2025,08:10,17:10
10058,09/01/2025,08:00,17:00
10059,09/01/2025,08:04,17:00
10060,09/01/2025,07:50,18:00
10061,09/01/2025,08:14,17:05
10062,09/01/2025,08:00,17:00
10063,09/01/2025,08:00,17:00
10064,09/01/2025,08:02,17:00
10065,09/01/2025,07:55,17:00
10066,09/01/2025,08:20,17:30
10067,09/01/2025,08:00,17:00
10068,09/01/2025,08:10,17:00
10069,09/01/2025,07:42,17:05
10070,09/01/2025,08:06,17:00
10071,09/01/2025,08:00,17:00
10072,09/01/2025,08:03,17:00
10073,09/01/2025,07:50,17:15
10074,09/01/2025,08:12,17:00
10075,09/01/2025,08:00,17:00
10076,09/01/2025,08:25,18:00
10077,09/01/2025,07:58,17:00
10078,09/01/2025,08:05,17:00
10079,09/01/2025,08:00,17:05
10080,09/01/2025,08:10,17:00
10081,09/01/2025,07:55,17:00
10082,09/01/2025,08:18,17:00
10083,09/01/2025,08:00,17:10
10084,09/01/2025,08:04,17:00
10085,09/01/2025,07:49,17:30
10086,09/01/2025,08:07,17:00
10087,09/01/2025,08:00,17:05
10088,09/01/2025,08:12,17:00
10089,09/01/2025,07:55,17:00
10090,09/01/2025,08:02,18:15
10091,09/01/2025,08:10,17:00
10092,09/01/2025,08:00,17:00
10093,09/01/2025,08:06,17:00
10094,09/01/2025,07:51,17:05
10095,09/01/2025,08:15,17:00
10096,09/01/2025,08:00,17:00
10097,09/01/2025,08:04,17:10
10098,09/01/2025,07:55,17:00
10099,09/01/2025,08:08,17:00
10100,09/01/2025,08:00,17:00
